Sexo	Grupos y subgrupos principales de la CNO-11	Media y percentiles	Periodo	Total
Ambos sexos	24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías	Percentil 90	2018	65.073,74
Ambos sexos	25 Profesionales en derecho	Media	2018	40.679,95
Ambos sexos	25 Profesionales en derecho	Percentil 10	2018	16.444,5
Ambos sexos	25 Profesionales en derecho	Percentil 25	2018	25.309,2
Ambos sexos	25 Profesionales en derecho	Percentil 50	2018	38.098,51
Ambos sexos	25 Profesionales en derecho	Percentil 75	2018	52.665,79
Ambos sexos	25 Profesionales en derecho	Percentil 90	2018	69.438,47
Ambos sexos	26 Especialistas en organización de la Administración Pública y de las empresas y en la comercialización	Media	2018	40.569,83
Ambos sexos	26 Especialistas en organización de la Administración Pública y de las empresas y en la comercialización	Percentil 10	2018	18.523,8
Ambos sexos	26 Especialistas en organización de la Administración Pública y de las empresas y en la comercialización	Percentil 25	2018	25.972,72
Ambos sexos	26 Especialistas en organización de la Administración Pública y de las empresas y en la comercialización	Percentil 50	2018	37.045,75
Ambos sexos	26 Especialistas en organización de la Administración Pública y de las empresas y en la comercialización	Percentil 75	2018	51.442,33
Ambos sexos	26 Especialistas en organización de la Administración Pública y de las empresas y en la comercialización	Percentil 90	2018	66.702,46
Ambos sexos	27 Profesionales de las tecnologías de la información	Media	2018	39.318,16
Ambos sexos	27 Profesionales de las tecnologías de la información	Percentil 10	2018	19.313,74
Ambos sexos	27 Profesionales de las tecnologías de la información	Percentil 25	2018	27.000
Ambos sexos	27 Profesionales de las tecnologías de la información	Percentil 50	2018	36.000
Ambos sexos	27 Profesionales de las tecnologías de la información	Percentil 75	2018	49.608,76
Ambos sexos	27 Profesionales de las tecnologías de la información	Percentil 90	2018	63.061,11
Ambos sexos	28 Profesionales en ciencias sociales	Media	2018	26.024,71
Ambos sexos	28 Profesionales en ciencias sociales	Percentil 10	2018	11.450,11
Ambos sexos	28 Profesionales en ciencias sociales	Percentil 25	2018	18.435,13
Ambos sexos	28 Profesionales en ciencias sociales	Percentil 50	2018	23.815,53
