Tipo de jornada	Ocupación	Decil	Periodo	Total
Jornada a tiempo completo	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	10	2014	3.941,7
Jornada a tiempo completo	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	10	2013	4.153,1
Jornada a tiempo completo	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	10	2012	3.727,8
Jornada a tiempo completo	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	10	2011	3.740,5
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	Total	2024	2.191,2
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	Total	2023	2.092,1
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	Total	2022	1.961,1
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	Total	2021	1.941,4
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	Total	2020	1.831,4
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	Total	2019	1.888,2
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	Total	2018	1.872,6
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	Total	2017	1.829,5
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	Total	2016	1.839
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	Total	2015	1.866,7
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	Total	2014	1.843,2
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	Total	2013	1.784,3
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	Total	2012	1.785,1
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	Total	2011	1.787,9
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	1	2024	1.030
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	1	2023	903,1
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	1	2022	875,5
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	1	2021	774,1
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	1	2020	714,2
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	1	2019	736,7
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	1	2018	660,6
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	1	2017	661
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	1	2016	671,1
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	1	2015	621,9
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	1	2014	590,9
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	1	2013	615,4
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	1	2012	633,2
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	1	2011	649,1
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	2	2024	1.325
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	2	2023	1.245,3
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	2	2022	1.170,8
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	2	2021	1.081,7
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	2	2020	1.041,9
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	2	2019	1.039,5
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	2	2018	947,8
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	2	2017	893,3
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	2	2016	870,8
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	2	2015	863,8
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	2	2014	835,6
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	2	2013	870,9
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	2	2012	898,2
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	2	2011	908,9
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	3	2024	1.490,6
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	3	2023	1.432,7
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	3	2022	1.337,8
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	3	2021	1.248,2
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	3	2020	1.238,2
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	3	2019	1.224,8
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	3	2018	1.159,1
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	3	2017	1.120,6
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	3	2016	1.122,8
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	3	2015	1.103,1
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	3	2014	1.101,9
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	3	2013	1.116,1
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	3	2012	1.130
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	3	2011	1.135,2
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	4	2024	1.683,7
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	4	2023	1.634,3
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	4	2022	1.529,3
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	4	2021	1.458,7
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	4	2020	1.425,7
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	4	2019	1.406,7
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	4	2018	1.357,4
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	4	2017	1.317,5
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	4	2016	1.323,4
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	4	2015	1.301,6
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	4	2014	1.318,3
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	4	2013	1.319,7
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	4	2012	1.324
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	4	2011	1.307,2
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	5	2024	1.887,1
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	5	2023	1.830,5
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	5	2022	1.712,1
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	5	2021	1.655,4
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	5	2020	1.607,8
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	5	2019	1.597,7
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	5	2018	1.547
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	5	2017	1.503,7
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	5	2016	1.499,3
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	5	2015	1.496
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	5	2014	1.503
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	5	2013	1.504,5
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	5	2012	1.494,1
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	5	2011	1.483,8
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	6	2024	2.142,8
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	6	2023	2.061,7
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	6	2022	1.906,2
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	6	2021	1.865,9
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	6	2020	1.808,2
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	6	2019	1.797,8
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	6	2018	1.757,3
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	6	2017	1.699,9
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	6	2016	1.713,1
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	6	2015	1.700,9
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	6	2014	1.715,9
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	6	2013	1.705,6
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	6	2012	1.684,6
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	6	2011	1.676,7
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	7	2024	2.435,9
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	7	2023	2.353,2
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	7	2022	2.181,8
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	7	2021	2.150,5
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	7	2020	2.092,3
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	7	2019	2.052,7
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	7	2018	2.010,1
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	7	2017	1.954,9
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	7	2016	1.963,5
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	7	2015	1.962
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	7	2014	1.993,9
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	7	2013	1.979,1
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	7	2012	1.935
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	7	2011	1.923,6
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	8	2024	2.890,9
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	8	2023	2.755,2
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	8	2022	2.572,1
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	8	2021	2.511,6
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	8	2020	2.504,8
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	8	2019	2.429,8
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	8	2018	2.388,3
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	8	2017	2.336,3
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	8	2016	2.347,8
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	8	2015	2.339,1
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	8	2014	2.369,5
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	8	2013	2.382,5
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	8	2012	2.292,9
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	8	2011	2.274,9
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	9	2024	3.582,2
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	9	2023	3.364,6
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	9	2022	3.150,6
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	9	2021	3.145
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	9	2020	3.122,3
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	9	2019	3.040,1
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	9	2018	3.011
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	9	2017	2.934,5
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	9	2016	2.893,2
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	9	2015	2.957,8
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	9	2014	2.931,5
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	9	2013	2.864,3
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	9	2012	2.809,6
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	9	2011	2.828,5
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	10	2024	4.568,7
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	10	2023	4.312,5
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	10	2022	4.040,3
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	10	2021	4.091,7
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	10	2020	3.934,7
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	10	2019	3.769,5
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	10	2018	3.862,6
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	10	2017	3.785,6
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	10	2016	3.821,6
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	10	2015	4.035
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	10	2014	3.733,9
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	10	2013	3.815,2
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	10	2012	3.539,7
Jornada a tiempo completo	8 Operadores de instalaciones y maquinaria, y montadores	10	2011	3.619,4
Jornada a tiempo completo	9 Ocupaciones elementales	Total	2024	1.705,8
Jornada a tiempo completo	9 Ocupaciones elementales	Total	2023	1.632,4
Jornada a tiempo completo	9 Ocupaciones elementales	Total	2022	1.536,7
Jornada a tiempo completo	9 Ocupaciones elementales	Total	2021	1.449,3
Jornada a tiempo completo	9 Ocupaciones elementales	Total	2020	1.480,9
Jornada a tiempo completo	9 Ocupaciones elementales	Total	2019	1.439
Jornada a tiempo completo	9 Ocupaciones elementales	Total	2018	1.352,5
Jornada a tiempo completo	9 Ocupaciones elementales	Total	2017	1.322,2
Jornada a tiempo completo	9 Ocupaciones elementales	Total	2016	1.326,7
Jornada a tiempo completo	9 Ocupaciones elementales	Total	2015	1.329,7
Jornada a tiempo completo	9 Ocupaciones elementales	Total	2014	1.300,4
Jornada a tiempo completo	9 Ocupaciones elementales	Total	2013	1.299,6
Jornada a tiempo completo	9 Ocupaciones elementales	Total	2012	1.323,9
Jornada a tiempo completo	9 Ocupaciones elementales	Total	2011	1.288,3
Jornada a tiempo completo	9 Ocupaciones elementales	1	2024	989,3
Jornada a tiempo completo	9 Ocupaciones elementales	1	2023	888,1
Jornada a tiempo completo	9 Ocupaciones elementales	1	2022	862,8
Jornada a tiempo completo	9 Ocupaciones elementales	1	2021	775,4
Jornada a tiempo completo	9 Ocupaciones elementales	1	2020	753
Jornada a tiempo completo	9 Ocupaciones elementales	1	2019	747,7
Jornada a tiempo completo	9 Ocupaciones elementales	1	2018	672,5
Jornada a tiempo completo	9 Ocupaciones elementales	1	2017	640
Jornada a tiempo completo	9 Ocupaciones elementales	1	2016	634,2
Jornada a tiempo completo	9 Ocupaciones elementales	1	2015	590,5
Jornada a tiempo completo	9 Ocupaciones elementales	1	2014	565,6
Jornada a tiempo completo	9 Ocupaciones elementales	1	2013	557,3
Jornada a tiempo completo	9 Ocupaciones elementales	1	2012	581,6
Jornada a tiempo completo	9 Ocupaciones elementales	1	2011	598,8
Jornada a tiempo completo	9 Ocupaciones elementales	2	2024	1.302,2
Jornada a tiempo completo	9 Ocupaciones elementales	2	2023	1.225,3
Jornada a tiempo completo	9 Ocupaciones elementales	2	2022	1.148,5
Jornada a tiempo completo	9 Ocupaciones elementales	2	2021	1.040,1
Jornada a tiempo completo	9 Ocupaciones elementales	2	2020	1.029,6
Jornada a tiempo completo	9 Ocupaciones elementales	2	2019	1.003,2
Jornada a tiempo completo	9 Ocupaciones elementales	2	2018	917,7
Jornada a tiempo completo	9 Ocupaciones elementales	2	2017	872,1
Jornada a tiempo completo	9 Ocupaciones elementales	2	2016	872,7
Jornada a tiempo completo	9 Ocupaciones elementales	2	2015	842,5
Jornada a tiempo completo	9 Ocupaciones elementales	2	2014	844,7
Jornada a tiempo completo	9 Ocupaciones elementales	2	2013	826,3
Jornada a tiempo completo	9 Ocupaciones elementales	2	2012	858,5
Jornada a tiempo completo	9 Ocupaciones elementales	2	2011	863
Jornada a tiempo completo	9 Ocupaciones elementales	3	2024	1.486,1
Jornada a tiempo completo	9 Ocupaciones elementales	3	2023	1.432,7
Jornada a tiempo completo	9 Ocupaciones elementales	3	2022	1.329,8
Jornada a tiempo completo	9 Ocupaciones elementales	3	2021	1.255,1
Jornada a tiempo completo	9 Ocupaciones elementales	3	2020	1.237,1
Jornada a tiempo completo	9 Ocupaciones elementales	3	2019	1.221,5
Jornada a tiempo completo	9 Ocupaciones elementales	3	2018	1.149,3
Jornada a tiempo completo	9 Ocupaciones elementales	3	2017	1.117,3
Jornada a tiempo completo	9 Ocupaciones elementales	3	2016	1.116,4
Jornada a tiempo completo	9 Ocupaciones elementales	3	2015	1.102,6
Jornada a tiempo completo	9 Ocupaciones elementales	3	2014	1.096,9
Jornada a tiempo completo	9 Ocupaciones elementales	3	2013	1.102,6
Jornada a tiempo completo	9 Ocupaciones elementales	3	2012	1.114,5
Jornada a tiempo completo	9 Ocupaciones elementales	3	2011	1.120,1
Jornada a tiempo completo	9 Ocupaciones elementales	4	2024	1.678,3
Jornada a tiempo completo	9 Ocupaciones elementales	4	2023	1.625,9
Jornada a tiempo completo	9 Ocupaciones elementales	4	2022	1.516,5
Jornada a tiempo completo	9 Ocupaciones elementales	4	2021	1.452,3
Jornada a tiempo completo	9 Ocupaciones elementales	4	2020	1.426
Jornada a tiempo completo	9 Ocupaciones elementales	4	2019	1.416,5
Jornada a tiempo completo	9 Ocupaciones elementales	4	2018	1.358,2
Jornada a tiempo completo	9 Ocupaciones elementales	4	2017	1.317,3
Jornada a tiempo completo	9 Ocupaciones elementales	4	2016	1.321,5
Jornada a tiempo completo	9 Ocupaciones elementales	4	2015	1.308,6
Jornada a tiempo completo	9 Ocupaciones elementales	4	2014	1.314,8
Jornada a tiempo completo	9 Ocupaciones elementales	4	2013	1.315,7
Jornada a tiempo completo	9 Ocupaciones elementales	4	2012	1.323,2
Jornada a tiempo completo	9 Ocupaciones elementales	4	2011	1.311,7
Jornada a tiempo completo	9 Ocupaciones elementales	5	2024	1.878,8
Jornada a tiempo completo	9 Ocupaciones elementales	5	2023	1.828,4
Jornada a tiempo completo	9 Ocupaciones elementales	5	2022	1.702,1
Jornada a tiempo completo	9 Ocupaciones elementales	5	2021	1.648,2
Jornada a tiempo completo	9 Ocupaciones elementales	5	2020	1.603
Jornada a tiempo completo	9 Ocupaciones elementales	5	2019	1.588,7
Jornada a tiempo completo	9 Ocupaciones elementales	5	2018	1.541,6
Jornada a tiempo completo	9 Ocupaciones elementales	5	2017	1.500,6
Jornada a tiempo completo	9 Ocupaciones elementales	5	2016	1.489,5
Jornada a tiempo completo	9 Ocupaciones elementales	5	2015	1.494,4
Jornada a tiempo completo	9 Ocupaciones elementales	5	2014	1.501,7
Jornada a tiempo completo	9 Ocupaciones elementales	5	2013	1.501,7
Jornada a tiempo completo	9 Ocupaciones elementales	5	2012	1.490
Jornada a tiempo completo	9 Ocupaciones elementales	5	2011	1.477,4
Jornada a tiempo completo	9 Ocupaciones elementales	6	2024	2.119
Jornada a tiempo completo	9 Ocupaciones elementales	6	2023	2.058,5
Jornada a tiempo completo	9 Ocupaciones elementales	6	2022	1.902,7
Jornada a tiempo completo	9 Ocupaciones elementales	6	2021	1.849,5
Jornada a tiempo completo	9 Ocupaciones elementales	6	2020	1.799,1
Jornada a tiempo completo	9 Ocupaciones elementales	6	2019	1.786,4
Jornada a tiempo completo	9 Ocupaciones elementales	6	2018	1.740,6
Jornada a tiempo completo	9 Ocupaciones elementales	6	2017	1.691,4
Jornada a tiempo completo	9 Ocupaciones elementales	6	2016	1.693,1
Jornada a tiempo completo	9 Ocupaciones elementales	6	2015	1.690,5
Jornada a tiempo completo	9 Ocupaciones elementales	6	2014	1.699,2
Jornada a tiempo completo	9 Ocupaciones elementales	6	2013	1.688
Jornada a tiempo completo	9 Ocupaciones elementales	6	2012	1.671,2
Jornada a tiempo completo	9 Ocupaciones elementales	6	2011	1.675,5
Jornada a tiempo completo	9 Ocupaciones elementales	7	2024	2.443,7
Jornada a tiempo completo	9 Ocupaciones elementales	7	2023	2.332
Jornada a tiempo completo	9 Ocupaciones elementales	7	2022	2.173,8
Jornada a tiempo completo	9 Ocupaciones elementales	7	2021	2.131,5
Jornada a tiempo completo	9 Ocupaciones elementales	7	2020	2.095
Jornada a tiempo completo	9 Ocupaciones elementales	7	2019	2.045,3
Jornada a tiempo completo	9 Ocupaciones elementales	7	2018	2.011,3
Jornada a tiempo completo	9 Ocupaciones elementales	7	2017	1.949,9
Jornada a tiempo completo	9 Ocupaciones elementales	7	2016	1.975
Jornada a tiempo completo	9 Ocupaciones elementales	7	2015	1.952,4
Jornada a tiempo completo	9 Ocupaciones elementales	7	2014	1.990,7
Jornada a tiempo completo	9 Ocupaciones elementales	7	2013	1.982,4
Jornada a tiempo completo	9 Ocupaciones elementales	7	2012	1.939,7
Jornada a tiempo completo	9 Ocupaciones elementales	7	2011	1.905,7
Jornada a tiempo completo	9 Ocupaciones elementales	8	2024	2.867,7
Jornada a tiempo completo	9 Ocupaciones elementales	8	2023	2.743,6
Jornada a tiempo completo	9 Ocupaciones elementales	8	2022	2.530,9
Jornada a tiempo completo	9 Ocupaciones elementales	8	2021	2.524,6
Jornada a tiempo completo	9 Ocupaciones elementales	8	2020	2.485,5
Jornada a tiempo completo	9 Ocupaciones elementales	8	2019	2.426,1
Jornada a tiempo completo	9 Ocupaciones elementales	8	2018	2.384,2
Jornada a tiempo completo	9 Ocupaciones elementales	8	2017	2.320,1
Jornada a tiempo completo	9 Ocupaciones elementales	8	2016	2.316,3
Jornada a tiempo completo	9 Ocupaciones elementales	8	2015	2.345,6
Jornada a tiempo completo	9 Ocupaciones elementales	8	2014	2.325,1
Jornada a tiempo completo	9 Ocupaciones elementales	8	2013	2.345,8
Jornada a tiempo completo	9 Ocupaciones elementales	8	2012	2.270,5
Jornada a tiempo completo	9 Ocupaciones elementales	8	2011	2.249
Jornada a tiempo completo	9 Ocupaciones elementales	9	2024	3.433,4
Jornada a tiempo completo	9 Ocupaciones elementales	9	2023	3.336,8
Jornada a tiempo completo	9 Ocupaciones elementales	9	2022	3.084,2
Jornada a tiempo completo	9 Ocupaciones elementales	9	2021	3.082
Jornada a tiempo completo	9 Ocupaciones elementales	9	2020	3.102,6
Jornada a tiempo completo	9 Ocupaciones elementales	9	2019	2.898,7
Jornada a tiempo completo	9 Ocupaciones elementales	9	2018	2.921,4
Jornada a tiempo completo	9 Ocupaciones elementales	9	2017	2.836,2
Jornada a tiempo completo	9 Ocupaciones elementales	9	2016	2.854,9
Jornada a tiempo completo	9 Ocupaciones elementales	9	2015	2.782,1
Jornada a tiempo completo	9 Ocupaciones elementales	9	2014	2.901,2
Jornada a tiempo completo	9 Ocupaciones elementales	9	2013	2.832,8
Jornada a tiempo completo	9 Ocupaciones elementales	9	2012	2.810,1
Jornada a tiempo completo	9 Ocupaciones elementales	9	2011	2.784
Jornada a tiempo completo	9 Ocupaciones elementales	10	2024	..
Jornada a tiempo completo	9 Ocupaciones elementales	10	2023	..
Jornada a tiempo completo	9 Ocupaciones elementales	10	2022	4.077
Jornada a tiempo completo	9 Ocupaciones elementales	10	2021	..
Jornada a tiempo completo	9 Ocupaciones elementales	10	2020	..
Jornada a tiempo completo	9 Ocupaciones elementales	10	2019	3.600,7
Jornada a tiempo completo	9 Ocupaciones elementales	10	2018	3.593,7
Jornada a tiempo completo	9 Ocupaciones elementales	10	2017	3.440,9
Jornada a tiempo completo	9 Ocupaciones elementales	10	2016	3.615,3
Jornada a tiempo completo	9 Ocupaciones elementales	10	2015	3.936,7
Jornada a tiempo completo	9 Ocupaciones elementales	10	2014	..
Jornada a tiempo completo	9 Ocupaciones elementales	10	2013	3.457,7
Jornada a tiempo completo	9 Ocupaciones elementales	10	2012	3.455,7
Jornada a tiempo completo	9 Ocupaciones elementales	10	2011	3.413,3
Jornada a tiempo completo	0 Ocupaciones militares	Total	2024	2.779,4
Jornada a tiempo completo	0 Ocupaciones militares	Total	2023	2.088,9
Jornada a tiempo completo	0 Ocupaciones militares	Total	2022	1.723,2
Jornada a tiempo completo	0 Ocupaciones militares	Total	2021	1.650,5
Jornada a tiempo completo	0 Ocupaciones militares	Total	2020	2.443,4
Jornada a tiempo completo	0 Ocupaciones militares	Total	2019	2.409,6
Jornada a tiempo completo	0 Ocupaciones militares	Total	2018	2.208
Jornada a tiempo completo	0 Ocupaciones militares	Total	2017	2.226,1
Jornada a tiempo completo	0 Ocupaciones militares	Total	2016	2.216,2
Jornada a tiempo completo	0 Ocupaciones militares	Total	2015	2.114,1
Jornada a tiempo completo	0 Ocupaciones militares	Total	2014	2.297,9
Jornada a tiempo completo	0 Ocupaciones militares	Total	2013	2.157,9
Jornada a tiempo completo	0 Ocupaciones militares	Total	2012	1.880,4
Jornada a tiempo completo	0 Ocupaciones militares	Total	2011	2.080
Jornada a tiempo completo	0 Ocupaciones militares	1	2024	..
Jornada a tiempo completo	0 Ocupaciones militares	1	2023	..
Jornada a tiempo completo	0 Ocupaciones militares	1	2022	..
Jornada a tiempo completo	0 Ocupaciones militares	1	2021	813,4
Jornada a tiempo completo	0 Ocupaciones militares	1	2020	..
Jornada a tiempo completo	0 Ocupaciones militares	1	2019	..
Jornada a tiempo completo	0 Ocupaciones militares	1	2018	..
Jornada a tiempo completo	0 Ocupaciones militares	1	2017	..
Jornada a tiempo completo	0 Ocupaciones militares	1	2016	..
Jornada a tiempo completo	0 Ocupaciones militares	1	2015	..
Jornada a tiempo completo	0 Ocupaciones militares	1	2014	625,8
Jornada a tiempo completo	0 Ocupaciones militares	1	2013	..
Jornada a tiempo completo	0 Ocupaciones militares	1	2012	..
Jornada a tiempo completo	0 Ocupaciones militares	1	2011	..
Jornada a tiempo completo	0 Ocupaciones militares	2	2024	1.291,6
Jornada a tiempo completo	0 Ocupaciones militares	2	2023	1.260
