Tipo de jornada	Ocupación	Decil	Periodo	Total
Total	1 Directores y gerentes	9	2016	2.955,7
Total	1 Directores y gerentes	9	2015	3.027,3
Total	1 Directores y gerentes	9	2014	2.947,4
Total	1 Directores y gerentes	9	2013	2.936,6
Total	1 Directores y gerentes	9	2012	2.868,7
Total	1 Directores y gerentes	9	2011	2.866,9
Total	1 Directores y gerentes	10	2024	6.883,3
Total	1 Directores y gerentes	10	2023	6.286,6
Total	1 Directores y gerentes	10	2022	5.883,9
Total	1 Directores y gerentes	10	2021	6.162,4
Total	1 Directores y gerentes	10	2020	5.895,5
Total	1 Directores y gerentes	10	2019	5.799,6
Total	1 Directores y gerentes	10	2018	5.710,4
Total	1 Directores y gerentes	10	2017	5.372,2
Total	1 Directores y gerentes	10	2016	5.515,2
Total	1 Directores y gerentes	10	2015	5.730,4
Total	1 Directores y gerentes	10	2014	5.332,6
Total	1 Directores y gerentes	10	2013	5.349,9
Total	1 Directores y gerentes	10	2012	5.114,7
Total	1 Directores y gerentes	10	2011	5.331,4
Total	2 Técnicos y profesionales científicos e intelectuales	Total	2024	3.548,4
Total	2 Técnicos y profesionales científicos e intelectuales	Total	2023	3.283,2
Total	2 Técnicos y profesionales científicos e intelectuales	Total	2022	3.141,3
Total	2 Técnicos y profesionales científicos e intelectuales	Total	2021	3.130,1
Total	2 Técnicos y profesionales científicos e intelectuales	Total	2020	3.100,6
Total	2 Técnicos y profesionales científicos e intelectuales	Total	2019	2.974,5
Total	2 Técnicos y profesionales científicos e intelectuales	Total	2018	2.979,6
Total	2 Técnicos y profesionales científicos e intelectuales	Total	2017	2.854,9
Total	2 Técnicos y profesionales científicos e intelectuales	Total	2016	2.855,5
Total	2 Técnicos y profesionales científicos e intelectuales	Total	2015	2.889,3
Total	2 Técnicos y profesionales científicos e intelectuales	Total	2014	2.856,5
Total	2 Técnicos y profesionales científicos e intelectuales	Total	2013	2.807
Total	2 Técnicos y profesionales científicos e intelectuales	Total	2012	2.798,4
Total	2 Técnicos y profesionales científicos e intelectuales	Total	2011	2.798,2
Total	2 Técnicos y profesionales científicos e intelectuales	1	2024	659,3
Total	2 Técnicos y profesionales científicos e intelectuales	1	2023	623,2
Total	2 Técnicos y profesionales científicos e intelectuales	1	2022	581
Total	2 Técnicos y profesionales científicos e intelectuales	1	2021	537,1
Total	2 Técnicos y profesionales científicos e intelectuales	1	2020	487,5
Total	2 Técnicos y profesionales científicos e intelectuales	1	2019	527,5
Total	2 Técnicos y profesionales científicos e intelectuales	1	2018	450,1
Total	2 Técnicos y profesionales científicos e intelectuales	1	2017	443
Total	2 Técnicos y profesionales científicos e intelectuales	1	2016	395,2
Total	2 Técnicos y profesionales científicos e intelectuales	1	2015	414
Total	2 Técnicos y profesionales científicos e intelectuales	1	2014	370,1
Total	2 Técnicos y profesionales científicos e intelectuales	1	2013	441,5
Total	2 Técnicos y profesionales científicos e intelectuales	1	2012	423,2
Total	2 Técnicos y profesionales científicos e intelectuales	1	2011	474,2
Total	2 Técnicos y profesionales científicos e intelectuales	2	2024	1.295
Total	2 Técnicos y profesionales científicos e intelectuales	2	2023	1.212,3
Total	2 Técnicos y profesionales científicos e intelectuales	2	2022	1.111,4
Total	2 Técnicos y profesionales científicos e intelectuales	2	2021	1.033
Total	2 Técnicos y profesionales científicos e intelectuales	2	2020	1.007,9
Total	2 Técnicos y profesionales científicos e intelectuales	2	2019	985,7
Total	2 Técnicos y profesionales científicos e intelectuales	2	2018	890,2
Total	2 Técnicos y profesionales científicos e intelectuales	2	2017	864,4
Total	2 Técnicos y profesionales científicos e intelectuales	2	2016	846,4
Total	2 Técnicos y profesionales científicos e intelectuales	2	2015	833,1
Total	2 Técnicos y profesionales científicos e intelectuales	2	2014	807,6
Total	2 Técnicos y profesionales científicos e intelectuales	2	2013	820,9
Total	2 Técnicos y profesionales científicos e intelectuales	2	2012	843,5
Total	2 Técnicos y profesionales científicos e intelectuales	2	2011	876,2
Total	2 Técnicos y profesionales científicos e intelectuales	3	2024	1.493,5
Total	2 Técnicos y profesionales científicos e intelectuales	3	2023	1.438,8
Total	2 Técnicos y profesionales científicos e intelectuales	3	2022	1.345,2
Total	2 Técnicos y profesionales científicos e intelectuales	3	2021	1.263,6
Total	2 Técnicos y profesionales científicos e intelectuales	3	2020	1.237,8
Total	2 Técnicos y profesionales científicos e intelectuales	3	2019	1.221,8
Total	2 Técnicos y profesionales científicos e intelectuales	3	2018	1.170,8
Total	2 Técnicos y profesionales científicos e intelectuales	3	2017	1.124,9
Total	2 Técnicos y profesionales científicos e intelectuales	3	2016	1.132,5
Total	2 Técnicos y profesionales científicos e intelectuales	3	2015	1.114,4
Total	2 Técnicos y profesionales científicos e intelectuales	3	2014	1.095,2
Total	2 Técnicos y profesionales científicos e intelectuales	3	2013	1.100,3
Total	2 Técnicos y profesionales científicos e intelectuales	3	2012	1.113,6
Total	2 Técnicos y profesionales científicos e intelectuales	3	2011	1.123,9
Total	2 Técnicos y profesionales científicos e intelectuales	4	2024	1.671,9
Total	2 Técnicos y profesionales científicos e intelectuales	4	2023	1.626
Total	2 Técnicos y profesionales científicos e intelectuales	4	2022	1.522,4
Total	2 Técnicos y profesionales científicos e intelectuales	4	2021	1.453,2
Total	2 Técnicos y profesionales científicos e intelectuales	4	2020	1.423,2
Total	2 Técnicos y profesionales científicos e intelectuales	4	2019	1.421,5
Total	2 Técnicos y profesionales científicos e intelectuales	4	2018	1.354,9
Total	2 Técnicos y profesionales científicos e intelectuales	4	2017	1.317,1
Total	2 Técnicos y profesionales científicos e intelectuales	4	2016	1.322,3
Total	2 Técnicos y profesionales científicos e intelectuales	4	2015	1.305,9
Total	2 Técnicos y profesionales científicos e intelectuales	4	2014	1.310,6
Total	2 Técnicos y profesionales científicos e intelectuales	4	2013	1.321,8
Total	2 Técnicos y profesionales científicos e intelectuales	4	2012	1.323,9
Total	2 Técnicos y profesionales científicos e intelectuales	4	2011	1.315,5
Total	2 Técnicos y profesionales científicos e intelectuales	5	2024	1.898,8
Total	2 Técnicos y profesionales científicos e intelectuales	5	2023	1.842,5
Total	2 Técnicos y profesionales científicos e intelectuales	5	2022	1.714,6
Total	2 Técnicos y profesionales científicos e intelectuales	5	2021	1.657
